job_id,scenario,dataset,train_dataset_name,eval_dataset_name,evaluation_mode,model_type,feature_set,threshold_mode,threshold,threshold_selected_on,roc_auc,pr_auc,precision,recall,f1_score,false_positive_rate,alert_rate,positive_share,precision_at_100,recall_at_100,lift_at_100,precision_at_500,recall_at_500,lift_at_500,tp,fp,fn,tn,train_rows,valid_rows,test_rows,train_time_sec,inference_time_sec,bundle_path
variant_1_xgboost_engineered,Variant I,Variant I,base,variant_1,external_dataset,xgboost,engineered,default_0.5,0.5,fixed,0.8852551822796024,0.14412034806109206,0.058311086131797106,0.7149333575120138,0.10782758526379127,0.12875807278474294,0.135223,0.011029,0.75,0.00680025387614471,68.00253876144708,0.54,0.024480913954120952,48.96182790824191,7885,127338,3144,861633,700000,150000,1000000,48.77456758399785,11.727616300995578,/opt/project/artifacts/models/benchmark/variant_1_xgboost_engineered_xgboost_engineered_bundle.joblib
variant_1_xgboost_engineered,Variant I,Variant I,base,variant_1,external_dataset,xgboost,engineered,best_f1_valid,0.87,validation,0.8852551822796024,0.14412034806109206,0.17240056973813958,0.285338652643032,0.21493699416043438,0.015275473193855027,0.018254,0.011029,0.75,0.00680025387614471,68.00253876144708,0.54,0.024480913954120952,48.96182790824191,3147,15107,7882,973864,700000,150000,1000000,48.77456758399785,11.727616300995578,/opt/project/artifacts/models/benchmark/variant_1_xgboost_engineered_xgboost_engineered_bundle.joblib
variant_1_xgboost_engineered,Variant I,Variant I,base,variant_1,external_dataset,xgboost,engineered,best_recall_alert_20_valid,0.39,validation,0.8852551822796024,0.14412034806109206,0.04557099604068007,0.7983498050593889,0.08622040304733554,0.18646653946374564,0.193215,0.011029,0.75,0.00680025387614471,68.00253876144708,0.54,0.024480913954120952,48.96182790824191,8805,184410,2224,804561,700000,150000,1000000,48.77456758399785,11.727616300995578,/opt/project/artifacts/models/benchmark/variant_1_xgboost_engineered_xgboost_engineered_bundle.joblib
variant_1_xgboost_engineered,Variant I,Variant I,base,variant_1,external_dataset,xgboost,engineered,best_recall_alert_30_valid,0.27,validation,0.8852551822796024,0.14412034806109206,0.03379238877471624,0.8781394505394868,0.0650803677023976,0.28000618825021156,0.286603,0.011029,0.75,0.00680025387614471,68.00253876144708,0.54,0.024480913954120952,48.96182790824191,9685,276918,1344,712053,700000,150000,1000000,48.77456758399785,11.727616300995578,/opt/project/artifacts/models/benchmark/variant_1_xgboost_engineered_xgboost_engineered_bundle.joblib
variant_1_xgboost_engineered,Variant I,Variant I,base,variant_1,external_dataset,xgboost,engineered,best_recall_fpr_05_valid,0.74,validation,0.8852551822796024,0.14412034806109206,0.10527249083816054,0.4844500861365491,0.17296019940760404,0.04591742326114719,0.050754,0.011029,0.75,0.00680025387614471,68.00253876144708,0.54,0.024480913954120952,48.96182790824191,5343,45411,5686,943560,700000,150000,1000000,48.77456758399785,11.727616300995578,/opt/project/artifacts/models/benchmark/variant_1_xgboost_engineered_xgboost_engineered_bundle.joblib
